Id,LotArea,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,TotRmsAbvGrd,GarageArea,MiscVal,YrSold,SalePrice,Is_above_med
1,8450,5,2003,2003,856,1710,8,548,0,2008,208500,0
2,9600,8,1976,1976,1262,1262,6,460,0,2007,181500,0
3,11250,5,2001,2002,920,1786,6,608,0,2008,223500,0
4,9550,5,1915,1970,756,1717,7,642,0,2006,140000,0
5,14260,5,2000,2000,1145,2198,9,836,0,2008,250000,1
6,14115,5,1993,1995,796,1362,5,480,700,2009,143000,0
7,10084,5,2004,2005,1686,1694,7,636,0,2007,307000,1
8,10382,6,1973,1973,1107,2090,7,484,350,2009,200000,0
9,6120,5,1931,1950,952,1774,8,468,0,2008,129900,0
10,7420,6,1939,1950,991,1077,5,205,0,2008,118000,0
11,11200,5,1965,1965,1040,1040,5,384,0,2008,129500,0
12,11924,5,2005,2006,1175,2324,11,736,0,2006,345000,1
13,12968,6,1962,1962,912,912,4,352,0,2008,144000,0
14,10652,5,2006,2007,1494,1494,7,840,0,2007,279500,1
15,10920,5,1960,1960,1253,1253,5,352,0,2008,157000,0
16,6120,8,1929,2001,832,854,5,576,0,2007,132000,0
17,11241,7,1970,1970,1004,1004,5,480,700,2010,149000,0
18,10791,5,1967,1967,0,1296,6,516,500,2006,90000,0
19,13695,5,2004,2004,1114,1114,6,576,0,2008,159000,0
20,7560,6,1958,1965,1029,1339,6,294,0,2009,139000,0
21,14215,5,2005,2006,1158,2376,9,853,0,2006,325300,1
22,7449,7,1930,1950,637,1108,6,280,0,2007,139400,0
23,9742,5,2002,2002,1777,1795,7,534,0,2008,230000,0
24,4224,7,1976,1976,1040,1060,6,572,0,2007,129900,0
25,8246,8,1968,2001,1060,1060,6,270,0,2010,154000,0
26,14230,5,2007,2007,1566,1600,7,890,0,2009,256300,1
27,7200,7,1951,2000,900,900,5,576,0,2010,134800,0
28,11478,5,2007,2008,1704,1704,7,772,0,2010,306000,1
29,16321,6,1957,1997,1484,1600,6,319,0,2006,207500,0
30,6324,6,1927,1950,520,520,4,240,0,2008,68500,0
31,8500,4,1920,1950,649,1317,6,250,0,2008,40000,0
32,8544,6,1966,2006,1228,1228,6,271,0,2008,149350,0
